modelName,modelType,maxBins,maxDepth,numTrees,metricValue
OpGBTRegressor_00000000000d_1,OpGBTRegressor,32,6,null,4.430990524870973
OpGBTRegressor_00000000000d_2,OpGBTRegressor,32,12,null,4.430990524870973
OpGBTRegressor_00000000000d_3,OpGBTRegressor,32,3,null,5.909979975084519
OpGBTRegressor_00000000000d_4,OpGBTRegressor,32,6,null,5.909979975084519
OpGBTRegressor_00000000000d_5,OpGBTRegressor,32,12,null,5.909979975084519
OpGBTRegressor_00000000000d_6,OpGBTRegressor,32,3,null,4.427928442073578
OpGBTRegressor_00000000000d_7,OpGBTRegressor,32,6,null,4.430616374837411
OpGBTRegressor_00000000000d_8,OpGBTRegressor,32,12,null,4.430616374837411
OpGBTRegressor_00000000000d_9,OpGBTRegressor,32,3,null,5.909979975084519
OpGBTRegressor_00000000000d_10,OpGBTRegressor,32,6,null,5.909979975084519
OpGBTRegressor_00000000000d_11,OpGBTRegressor,32,12,null,5.909979975084519
OpGBTRegressor_00000000000d_12,OpGBTRegressor,32,3,null,4.429137871227235
OpGBTRegressor_00000000000d_13,OpGBTRegressor,32,6,null,4.430577254149579
OpGBTRegressor_00000000000d_14,OpGBTRegressor,32,12,null,4.430577254149579
OpGBTRegressor_00000000000d_15,OpGBTRegressor,32,3,null,5.909979975084519
OpGBTRegressor_00000000000d_16,OpGBTRegressor,32,6,null,5.909979975084519
OpGBTRegressor_00000000000d_17,OpGBTRegressor,32,12,null,5.909979975084519
OpRandomForestRegressor_00000000000c_0,OpRandomForestRegressor,32,3,50,4.066529808306351
OpRandomForestRegressor_00000000000c_1,OpRandomForestRegressor,32,3,50,5.913666437511717
OpRandomForestRegressor_00000000000c_2,OpRandomForestRegressor,32,3,50,4.066266142780773
OpRandomForestRegressor_00000000000c_3,OpRandomForestRegressor,32,3,50,5.913666437511717
OpRandomForestRegressor_00000000000c_4,OpRandomForestRegressor,32,3,50,4.065831695480432
OpRandomForestRegressor_00000000000c_5,OpRandomForestRegressor,32,3,50,5.913666437511717
OpRandomForestRegressor_00000000000c_6,OpRandomForestRegressor,32,6,50,4.077305700252561
OpRandomForestRegressor_00000000000c_7,OpRandomForestRegressor,32,6,50,5.913666437511717
OpRandomForestRegressor_00000000000c_8,OpRandomForestRegressor,32,6,50,4.077041301117707
OpRandomForestRegressor_00000000000c_9,OpRandomForestRegressor,32,6,50,5.913666437511717
OpRandomForestRegressor_00000000000c_10,OpRandomForestRegressor,32,6,50,4.076295402184487
OpRandomForestRegressor_00000000000c_11,OpRandomForestRegressor,32,6,50,5.913666437511717
OpRandomForestRegressor_00000000000c_12,OpRandomForestRegressor,32,12,50,4.077305700252561
OpRandomForestRegressor_00000000000c_13,OpRandomForestRegressor,32,12,50,5.913666437511717
OpRandomForestRegressor_00000000000c_14,OpRandomForestRegressor,32,12,50,4.077041301117707
OpRandomForestRegressor_00000000000c_15,OpRandomForestRegressor,32,12,50,5.913666437511717
OpRandomForestRegressor_00000000000c_16,OpRandomForestRegressor,32,12,50,4.076295402184487
OpRandomForestRegressor_00000000000c_17,OpRandomForestRegressor,32,12,50,5.913666437511717
